nom;nom_annuaire;ville;ville_propre;Code;jour;categorie;ouverture_am;fermeture_am;ouverture_pm;fermeture_pm;bibli_amp_def_latlong_nom;bibli_amp_def_latlong_y;bibli_amp_def_latlong_x;bibli_amp_def_latlong_bibli_amp_def_nom_annuaire
Méjanes;BIBLIOTHÈQUE MÉJANES;Aix-en-Provence;AIX EN PROVENCE;381.0;mardi;tous publics;10:00:00;NA;NA;19:00:00;Bibliothèque Mejanes;43.524604;5.439255;BIBLIOTHÈQUE MÉJANES
Méjanes;BIBLIOTHÈQUE MÉJANES;Aix-en-Provence;AIX EN PROVENCE;381.0;mercredi;tous publics;10:00:00;NA;NA;19:00:00;Bibliothèque Mejanes;43.524604;5.439255;BIBLIOTHÈQUE MÉJANES
Méjanes;BIBLIOTHÈQUE MÉJANES;Aix-en-Provence;AIX EN PROVENCE;381.0;jeudi;tous publics;10:00:00;NA;NA;19:00:00;Bibliothèque Mejanes;43.524604;5.439255;BIBLIOTHÈQUE MÉJANES
Méjanes;BIBLIOTHÈQUE MÉJANES;Aix-en-Provence;AIX EN PROVENCE;381.0;vendredi;tous publics;10:00:00;NA;NA;19:00:00;Bibliothèque Mejanes;43.524604;5.439255;BIBLIOTHÈQUE MÉJANES
Méjanes;BIBLIOTHÈQUE MÉJANES;Aix-en-Provence;AIX EN PROVENCE;381.0;samedi;tous publics;10:00:00;NA;NA;19:00:00;Bibliothèque Mejanes;43.524604;5.439255;BIBLIOTHÈQUE MÉJANES
Méjanes;BIBLIOTHÈQUE MÉJANES;Aix-en-Provence;AIX EN PROVENCE;381.0;dimanche;tous publics;NA;NA;NA;NA;Bibliothèque Mejanes;43.524604;5.439255;BIBLIOTHÈQUE MÉJANES
Michel Vovelle;BIBLIOTHÈQUE PATRIMONIALE MÉJANES SITE MICHEL VOVELLE;Aix-en-Provence;AIX EN PROVENCE;;lundi;tous publics;NA;NA;NA;NA;;;;
Michel Vovelle;BIBLIOTHÈQUE PATRIMONIALE MÉJANES SITE MICHEL VOVELLE;Aix-en-Provence;AIX EN PROVENCE;;mardi;tous publics;NA;NA;14:00:00;18:00:00;;;;
Michel Vovelle;BIBLIOTHÈQUE PATRIMONIALE MÉJANES SITE MICHEL VOVELLE;Aix-en-Provence;AIX EN PROVENCE;;mercredi;tous publics;NA;NA;NA;NA;;;;
Michel Vovelle;BIBLIOTHÈQUE PATRIMONIALE MÉJANES SITE MICHEL VOVELLE;Aix-en-Provence;AIX EN PROVENCE;;jeudi;tous publics;NA;NA;NA;NA;;;;
Michel Vovelle;BIBLIOTHÈQUE PATRIMONIALE MÉJANES SITE MICHEL VOVELLE;Aix-en-Provence;AIX EN PROVENCE;;vendredi;tous publics;NA;NA;14:00:00;18:00:00;;;;
Michel Vovelle;BIBLIOTHÈQUE PATRIMONIALE MÉJANES SITE MICHEL VOVELLE;Aix-en-Provence;AIX EN PROVENCE;;samedi;tous publics;10:00:00;NA;NA;18:00:00;;;;
Michel Vovelle;BIBLIOTHÈQUE PATRIMONIALE MÉJANES SITE MICHEL VOVELLE;Aix-en-Provence;AIX EN PROVENCE;;dimanche;tous publics;NA;NA;NA;NA;;;;
NA;BIBLIOTHÈQUE BERNARD MONGE;Allauch;ALLAUCH;383.0;lundi;tous publics;NA;NA;NA;NA;Bibliothèque municipale;43.334711;5.482815;BIBLIOTHÈQUE BERNARD MONGE
NA;BIBLIOTHÈQUE BERNARD MONGE;Allauch;ALLAUCH;383.0;mardi;tous publics;NA;NA;13:30:00;18:00:00;Bibliothèque municipale;43.334711;5.482815;BIBLIOTHÈQUE BERNARD MONGE
NA;BIBLIOTHÈQUE BERNARD MONGE;Allauch;ALLAUCH;383.0;mercredi;tous publics;09:00:00;12:00:00;13:30:00;18:00:00;Bibliothèque municipale;43.334711;5.482815;BIBLIOTHÈQUE BERNARD MONGE
NA;BIBLIOTHÈQUE BERNARD MONGE;Allauch;ALLAUCH;383.0;jeudi;tous publics;09:00:00;12:30:00;13:30:00;17:00:00;Bibliothèque municipale;43.334711;5.482815;BIBLIOTHÈQUE BERNARD MONGE
NA;BIBLIOTHÈQUE BERNARD MONGE;Allauch;ALLAUCH;383.0;vendredi;tous publics;NA;NA;NA;NA;Bibliothèque municipale;43.334711;5.482815;BIBLIOTHÈQUE BERNARD MONGE
NA;BIBLIOTHÈQUE BERNARD MONGE;Allauch;ALLAUCH;383.0;samedi;tous publics;10:00:00;12:30:00;13:30:00;17:00:00;Bibliothèque municipale;43.334711;5.482815;BIBLIOTHÈQUE BERNARD MONGE
NA;BIBLIOTHÈQUE BERNARD MONGE;Allauch;ALLAUCH;383.0;dimanche;tous publics;10:00:00;12:30:00;13:30:00;17:00:00;Bibliothèque municipale;43.334711;5.482815;BIBLIOTHÈQUE BERNARD MONGE
NA;BIBLIOTHÈQUE MUNICIPALE;Alleins;ALLEINS;383.0;lundi;tous publics;NA;NA;15:00:00;18:00:00;Bibliothèque municipale;43.334711;5.482815;BIBLIOTHÈQUE BERNARD MONGE
NA;BIBLIOTHÈQUE MUNICIPALE;Alleins;ALLEINS;383.0;mardi;tous publics;NA;NA;NA;NA;Bibliothèque municipale;43.334711;5.482815;BIBLIOTHÈQUE BERNARD MONGE
NA;BIBLIOTHÈQUE MUNICIPALE;Alleins;ALLEINS;383.0;mercredi;tous publics;10:00:00;12:00:00;15:00:00;18:00:00;Bibliothèque municipale;43.334711;5.482815;BIBLIOTHÈQUE BERNARD MONGE
NA;BIBLIOTHÈQUE MUNICIPALE;Alleins;ALLEINS;383.0;jeudi;tous publics;NA;NA;NA;NA;Bibliothèque municipale;43.334711;5.482815;BIBLIOTHÈQUE BERNARD MONGE
NA;BIBLIOTHÈQUE MUNICIPALE;Alleins;ALLEINS;383.0;vendredi;tous publics;NA;NA;15:00:00;19:00:00;Bibliothèque municipale;43.334711;5.482815;BIBLIOTHÈQUE BERNARD MONGE
NA;BIBLIOTHÈQUE MUNICIPALE;Alleins;ALLEINS;383.0;samedi;tous publics;NA;NA;NA;NA;Bibliothèque municipale;43.334711;5.482815;BIBLIOTHÈQUE BERNARD MONGE
NA;BIBLIOTHÈQUE MUNICIPALE;Alleins;ALLEINS;383.0;dimanche;tous publics;NA;NA;NA;NA;Bibliothèque municipale;43.334711;5.482815;BIBLIOTHÈQUE BERNARD MONGE
NA;MÉDIATHÈQUE MARCEL PAGNOL;Aubagne;AUBAGNE;386.0;lundi;tous publics;NA;NA;NA;NA;Médiathèque municipale;43.291535;5.572997;MÉDIATHÈQUE MARCEL PAGNOL
NA;MÉDIATHÈQUE MARCEL PAGNOL;Aubagne;AUBAGNE;386.0;mardi;tous publics;09:00:00;12:30:00;13:30:00;18:30:00;Médiathèque municipale;43.291535;5.572997;MÉDIATHÈQUE MARCEL PAGNOL
NA;MÉDIATHÈQUE MARCEL PAGNOL;Aubagne;AUBAGNE;386.0;mercredi;tous publics;09:00:00;12:30:00;13:30:00;18:30:00;Médiathèque municipale;43.291535;5.572997;MÉDIATHÈQUE MARCEL PAGNOL
NA;MÉDIATHÈQUE MARCEL PAGNOL;Aubagne;AUBAGNE;386.0;jeudi;tous publics;NA;NA;NA;NA;Médiathèque municipale;43.291535;5.572997;MÉDIATHÈQUE MARCEL PAGNOL
NA;MÉDIATHÈQUE MARCEL PAGNOL;Aubagne;AUBAGNE;386.0;vendredi;tous publics;NA;NA;13:30:00;18:30:00;Médiathèque municipale;43.291535;5.572997;MÉDIATHÈQUE MARCEL PAGNOL
NA;MÉDIATHÈQUE MARCEL PAGNOL;Aubagne;AUBAGNE;386.0;samedi;tous publics;09:00:00;NA;NA;17:00:00;Médiathèque municipale;43.291535;5.572997;MÉDIATHÈQUE MARCEL PAGNOL
NA;MÉDIATHÈQUE MARCEL PAGNOL;Aubagne;AUBAGNE;386.0;dimanche;tous publics;NA;NA;NA;NA;Médiathèque municipale;43.291535;5.572997;MÉDIATHÈQUE MARCEL PAGNOL
NA;BIBLIOTHÈQUE MARIE-ROSE POGGIO;Auriol;AURIOL;388.0;lundi;tous publics;NA;NA;NA;NA;Bibliothèque municipale;43.368399;5.632006;BIBLIOTHÈQUE MARIE-ROSE POGGIO
NA;BIBLIOTHÈQUE MARIE-ROSE POGGIO;Auriol;AURIOL;388.0;mardi;tous publics;08:30:00;12:00:00;14:00:00;18:00:00;Bibliothèque municipale;43.368399;5.632006;BIBLIOTHÈQUE MARIE-ROSE POGGIO
NA;BIBLIOTHÈQUE MARIE-ROSE POGGIO;Auriol;AURIOL;388.0;mercredi;tous publics;08:30:00;12:00:00;14:00:00;18:00:00;Bibliothèque municipale;43.368399;5.632006;BIBLIOTHÈQUE MARIE-ROSE POGGIO
NA;BIBLIOTHÈQUE MARIE-ROSE POGGIO;Auriol;AURIOL;388.0;jeudi;tous publics;08:30:00;12:00:00;NA;NA;Bibliothèque municipale;43.368399;5.632006;BIBLIOTHÈQUE MARIE-ROSE POGGIO
NA;BIBLIOTHÈQUE MARIE-ROSE POGGIO;Auriol;AURIOL;388.0;vendredi;tous publics;08:30:00;12:00:00;14:00:00;18:00:00;Bibliothèque municipale;43.368399;5.632006;BIBLIOTHÈQUE MARIE-ROSE POGGIO
NA;BIBLIOTHÈQUE MARIE-ROSE POGGIO;Auriol;AURIOL;388.0;samedi;tous publics;09:00:00;12:00:00;NA;NA;Bibliothèque municipale;43.368399;5.632006;BIBLIOTHÈQUE MARIE-ROSE POGGIO
NA;BIBLIOTHÈQUE MARIE-ROSE POGGIO;Auriol;AURIOL;388.0;dimanche;tous publics;NA;NA;NA;NA;Bibliothèque municipale;43.368399;5.632006;BIBLIOTHÈQUE MARIE-ROSE POGGIO
NA;BIBLIOTHÈQUE;Aurons;AURONS;389.0;lundi;tous publics;NA;NA;NA;NA;Bibliothèque municipale;43.665826;5.157885;BIBLIOTHÈQUE
NA;BIBLIOTHÈQUE;Aurons;AURONS;389.0;mardi;tous publics;NA;NA;15:00:00;18:30:00;Bibliothèque municipale;43.665826;5.157885;BIBLIOTHÈQUE
NA;BIBLIOTHÈQUE;Aurons;AURONS;389.0;mercredi;tous publics;NA;NA;15:00:00;18:30:00;Bibliothèque municipale;43.665826;5.157885;BIBLIOTHÈQUE
NA;BIBLIOTHÈQUE;Aurons;AURONS;389.0;jeudi;tous publics;NA;NA;NA;NA;Bibliothèque municipale;43.665826;5.157885;BIBLIOTHÈQUE
NA;BIBLIOTHÈQUE;Aurons;AURONS;389.0;vendredi;tous publics;NA;NA;15:00:00;18:30:00;Bibliothèque municipale;43.665826;5.157885;BIBLIOTHÈQUE
NA;BIBLIOTHÈQUE;Aurons;AURONS;389.0;samedi;tous publics;10:45:00;12:00:00;15:00:00;18:30:00;Bibliothèque municipale;43.665826;5.157885;BIBLIOTHÈQUE
NA;BIBLIOTHÈQUE;Aurons;AURONS;389.0;dimanche;tous publics;NA;NA;NA;NA;Bibliothèque municipale;43.665826;5.157885;BIBLIOTHÈQUE
NA;BIBLIOTHÈQUE MUNICIPALE;Belcodène;BELCODENE;392.0;lundi;tous publics;NA;NA;NA;NA;Médiathèque municipale;43.42611;5.58763;BIBLIOTHÈQUE MUNICIPALE
NA;BIBLIOTHÈQUE MUNICIPALE;Belcodène;BELCODENE;392.0;mardi;tous publics;NA;NA;15:00:00;18:30:00;Médiathèque municipale;43.42611;5.58763;BIBLIOTHÈQUE MUNICIPALE
NA;BIBLIOTHÈQUE MUNICIPALE;Belcodène;BELCODENE;392.0;mercredi;tous publics;09:00:00;NA;NA;18:30:00;Médiathèque municipale;43.42611;5.58763;BIBLIOTHÈQUE MUNICIPALE
NA;BIBLIOTHÈQUE MUNICIPALE;Belcodène;BELCODENE;392.0;jeudi;tous publics;NA;NA;NA;NA;Médiathèque municipale;43.42611;5.58763;BIBLIOTHÈQUE MUNICIPALE
NA;BIBLIOTHÈQUE MUNICIPALE;Belcodène;BELCODENE;392.0;vendredi;tous publics;NA;NA;12:00:00;18:30:00;Médiathèque municipale;43.42611;5.58763;BIBLIOTHÈQUE MUNICIPALE
NA;BIBLIOTHÈQUE MUNICIPALE;Belcodène;BELCODENE;392.0;samedi;tous publics;09:00:00;12:00:00;NA;NA;Médiathèque municipale;43.42611;5.58763;BIBLIOTHÈQUE MUNICIPALE
NA;BIBLIOTHÈQUE MUNICIPALE;Belcodène;BELCODENE;392.0;dimanche;tous publics;NA;NA;NA;NA;Médiathèque municipale;43.42611;5.58763;BIBLIOTHÈQUE MUNICIPALE
NA;MÉDIATHÈQUE EDMONDE CHARLES-ROUX DEFFERRE;Berre-l'Etang;BERRE L ETANG;393.0;lundi;tous publics;NA;NA;NA;NA;Médiathèque municipale;43.474628;5.167922;MÉDIATHÈQUE EDMONDE CHARLES-ROUX DEFFERRE
NA;MÉDIATHÈQUE EDMONDE CHARLES-ROUX DEFFERRE;Berre-l'Etang;BERRE L ETANG;393.0;mardi;tous publics;NA;NA;12:30:00;18:00:00;Médiathèque municipale;43.474628;5.167922;MÉDIATHÈQUE EDMONDE CHARLES-ROUX DEFFERRE
NA;MÉDIATHÈQUE EDMONDE CHARLES-ROUX DEFFERRE;Berre-l'Etang;BERRE L ETANG;393.0;mercredi;tous publics;10:00:00;NA;NA;18:00:00;Médiathèque municipale;43.474628;5.167922;MÉDIATHÈQUE EDMONDE CHARLES-ROUX DEFFERRE
NA;MÉDIATHÈQUE EDMONDE CHARLES-ROUX DEFFERRE;Berre-l'Etang;BERRE L ETANG;393.0;jeudi;tous publics;NA;NA;12:30:00;18:00:00;Médiathèque municipale;43.474628;5.167922;MÉDIATHÈQUE EDMONDE CHARLES-ROUX DEFFERRE
NA;MÉDIATHÈQUE EDMONDE CHARLES-ROUX DEFFERRE;Berre-l'Etang;BERRE L ETANG;393.0;vendredi;tous publics;NA;NA;12:30:00;18:00:00;Médiathèque municipale;43.474628;5.167922;MÉDIATHÈQUE EDMONDE CHARLES-ROUX DEFFERRE
